ObjShowTime,ReactionTime,StimType,Guess,Correct
1740772980074.444,1740772980435.596,1,1,1
1740772981396.756,1740772981680.092,1,1,1
1740772983136.26,1740772983383.628,1,1,1
1740772984441.8,1740772984670.348,1,1,1
1740772985858.512,1740772986104.176,1,1,1
1740772987121.34,1740772987364.844,1,1,1
1740772988546.012,1740772988764.712,1,1,1
1740772989540.876,1740772989800.716,1,1,1
1740772991190.876,1740772991370.552,1,1,1
1740772993669.044,1740772993869.668,1,1,1
1740772995035.832,1740772995247.34,1,1,1
1740772996453.504,1740772996693.896,1,1,1
1740772997233.068,1740772997608.904,1,1,1
1740772998342.072,1740772998701.808,1,1,1
1740772999458.972,1740772999656.848,1,1,1
1740773000393.008,1740773000590.776,1,1,1
1740773001483.936,1740773001679.744,1,1,1
1740773002219.912,1740773002478.276,1,1,1
1740773003228.44,1740773003645.888,1,1,1
1740773004457.052,1740773004681.564,1,1,1
1740773005389.728,1740773005613.464,1,1,1
1740773006792.636,1740773006994.656,1,1,1
1740773007959.82,1740773008186.932,1,1,1
1740773008787.092,1740773009156.86,1,1,1
1740773010585.028,1740773010790.74,1,1,1
1740773011787.904,1740773012036.004,1,1,1
1740773013427.172,1740773013636.332,1,1,1
1740773014523.496,1740773014897.776,1,1,1
1740773015431.94,1740773015753.848,1,1,1
1740773016981.012,1740773017221.952,1,1,1
1740773017729.116,1740773018073.244,1,1,1
1740773019410.412,1740773019747.088,1,1,1
1740773020484.248,1740773020739.196,1,1,1
1740773021938.36,1740773022228.652,1,1,1
1740773023265.816,1740773023606.488,1,1,1
1740773024734.652,1740773024974.96,1,1,1
1740773025972.124,1740773026248.424,1,1,1
1740773027433.592,1740773027734.308,1,1,1
1740773028538.476,1740773028800.764,1,1,1
1740773030063.932,1740773030318.212,1,1,1
1740773031294.38,1740773031600.04,1,1,1
1740773035107.756,1740773035460.556,1,1,1
1740773036716.812,1740773036979.16,1,1,1
1740773038598.776,1740773038914.548,1,1,1
1740773040338.796,1740773040570.492,1,1,1
1740773041443.748,1740773041748.468,1,1,1
1740773044842.972,1740773045078.352,1,1,1
1740773046927.484,1740773047184.56,1,1,1
1740773050164.136,1740773050429.452,1,1,1
1740773051093.7,1740773051396.28,1,1,1
1740773052056.54,1740773052357.112,1,1,1
1740773052938.364,1740773053239.284,1,1,1
1740773054413.54,1740773054679.952,1,1,1
1740773055469.212,1740773055744.62,1,1,1
1740773056590.876,1740773056840.388,1,1,1
1740773058266.644,1740773058512.236,1,1,1
1740773059414.492,1740773059677.636,1,1,1
1740773060587.892,1740773060853.58,1,1,1
1740773061450.84,1740773061762.536,1,1,1
1740773062504.784,1740773062761.004,1,1,1
1740773063523.264,1740773063748.32,1,1,1
1740773064999.572,1740773065228.028,1,1,1
1740773065886.276,1740773066144.936,1,1,1
1740773066666.188,1740773066942.42,1,1,1
1740773068280.664,1740773068512.236,1,1,1
1740773069805.488,1740773070067.072,1,1,1
1740773071145.324,1740773071359.976,1,1,1
1740773071881.228,1740773072236.42,1,1,1
1740773072978.68,1740773073198.924,1,1,1
1740773073835.184,1740773074103.104,1,1,1
1740773074874.368,1740773075145.216,1,1,1
1740773076458.472,1740773076808.8,1,1,1
1740773077765.056,1740773078040.064,1,1,1
1740773078573.316,1740773078929.196,1,1,1
1740773079487.464,1740773079778.264,1,1,1
1740773080670.52,1740773080932.34,1,1,1
1740773081444.592,1740773081756.724,1,1,1
1740773082581.984,1740773082846.688,1,1,1
1740773084344.944,1740773084689.44,1,1,1
1740773086179.696,1740773086540.632,1,1,1
1740773087482.892,1740773087706.228,1,1,1
1740773088543.484,1740773088761.132,1,1,1
1740773089456.388,1740773089672.384,1,1,1
1740773090199.636,1740773090509.184,1,1,1
1740773092680.168,1740773092891.056,1,1,1
1740773094125.312,1740773094429.832,1,1,1
1740773095415.084,1740773095607.908,1,1,1
1740773096663.164,1740773096854.916,1,1,1
1740773097560.172,1740773097785.304,1,1,1
1740773098725.552,1740773098891.844,1,1,1
1740773099566.096,1740773099803.712,1,1,1
1740773101050.96,1740773101325.036,1,1,1
